k = c1/2 * b1 + c2/2 * b2, where b1,b2 are the recirpocal lattice vector of the Magnetic bravais latt

   c1               c2              nk 
   0.0000000e+00   0.0000000e+00   3.8519793e+00
   1.6666667e-01   0.0000000e+00   3.8473785e+00
   3.3333333e-01   0.0000000e+00   3.8325863e+00
   5.0000000e-01   0.0000000e+00   3.8041023e+00
   6.6666667e-01   0.0000000e+00   3.7575694e+00
   8.3333333e-01   0.0000000e+00   3.7018761e+00
   1.0000000e+00   0.0000000e+00   3.6742998e+00
   1.1666667e+00   0.0000000e+00   3.7018648e+00
   1.3333333e+00   0.0000000e+00   3.7575508e+00
   1.5000000e+00   0.0000000e+00   3.8040815e+00
   1.6666667e+00   0.0000000e+00   3.8325683e+00
   1.8333333e+00   0.0000000e+00   3.8473681e+00
   2.0000000e+00   0.0000000e+00   3.8519793e+00
   0.0000000e+00   6.6666667e-01   3.7152525e+00
   1.6666667e-01   6.6666667e-01   3.7573442e+00
   3.3333333e-01   6.6666667e-01   3.7699478e+00
   5.0000000e-01   6.6666667e-01   3.7573258e+00
   6.6666667e-01   6.6666667e-01   3.7152099e+00
   8.3333333e-01   6.6666667e-01   3.6350863e+00
   1.0000000e+00   6.6666667e-01   3.5216624e+00
   1.1666667e+00   6.6666667e-01   3.4141398e+00
   1.3333333e+00   6.6666667e-01   3.3694827e+00
   1.5000000e+00   6.6666667e-01   3.4141465e+00
   1.6666667e+00   6.6666667e-01   3.5217026e+00
   1.8333333e+00   6.6666667e-01   3.6351451e+00
   2.0000000e+00   6.6666667e-01   3.7152525e+00
   0.0000000e+00   1.3333333e+00   3.7150194e+00
   1.6666667e-01   1.3333333e+00   3.6351084e+00
   3.3333333e-01   1.3333333e+00   3.5218882e+00
   5.0000000e-01   1.3333333e+00   3.4144945e+00
   6.6666667e-01   1.3333333e+00   3.3698772e+00
   8.3333333e-01   1.3333333e+00   3.4144574e+00
   1.0000000e+00   1.3333333e+00   3.5218027e+00
   1.1666667e+00   1.3333333e+00   3.6350045e+00
   1.3333333e+00   1.3333333e+00   3.7149406e+00
   1.5000000e+00   1.3333333e+00   3.7569549e+00
   1.6666667e+00   1.3333333e+00   3.7695562e+00
   1.8333333e+00   1.3333333e+00   3.7569942e+00
   2.0000000e+00   1.3333333e+00   3.7150194e+00
   0.0000000e+00   2.0000000e+00   3.8519793e+00
   1.6666667e-01   2.0000000e+00   3.8473785e+00
   3.3333333e-01   2.0000000e+00   3.8325863e+00
   5.0000000e-01   2.0000000e+00   3.8041023e+00
   6.6666667e-01   2.0000000e+00   3.7575694e+00
   8.3333333e-01   2.0000000e+00   3.7018761e+00
   1.0000000e+00   2.0000000e+00   3.6742998e+00
   1.1666667e+00   2.0000000e+00   3.7018648e+00
   1.3333333e+00   2.0000000e+00   3.7575508e+00
   1.5000000e+00   2.0000000e+00   3.8040815e+00
   1.6666667e+00   2.0000000e+00   3.8325683e+00
   1.8333333e+00   2.0000000e+00   3.8473681e+00
   2.0000000e+00   2.0000000e+00   3.8519793e+00
