 Nx=          36 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         198 N_down=           0 M1=        3600 
 M2=       14000
     1     1    0.72584140    0.72584140
     1     2    0.72416973    1.45001114
     1     3    0.72582982    2.17584096
     1     4    0.72393507    2.89977603
     1     5    0.72574266    3.62551868
     1     6    0.72383692    4.34935561
     2     1    0.95901144    5.30836705
     2     2    0.95979657    6.26816362
     2     3    0.95923772    7.22740134
     2     4    0.95967207    8.18707342
     2     5    0.95910886    9.14618228
     2     6    0.95986488   10.10604716
     3     1    0.95123610   11.05728326
     3     2    0.95256297   12.00984623
     3     3    0.95213934   12.96198557
     3     4    0.95297056   13.91495613
     3     5    0.95250954   14.86746567
     3     6    0.95256369   15.82002936
     4     1    0.94763931   16.76766867
     4     2    0.94944784   17.71711651
     4     3    0.94812763   18.66524414
     4     4    0.94924900   19.61449314
     4     5    0.94827163   20.56276476
     4     6    0.94841707   21.51118183
     5     1    0.94548500   22.45666684
     5     2    0.94588388   23.40255072
     5     3    0.94312730   24.34567801
     5     4    0.94597303   25.29165105
     5     5    0.94452104   26.23617209
     5     6    0.94577115   27.18194323
     6     1    0.92106053   28.10300377
     6     2    0.92122596   29.02422973
     6     3    0.92077811   29.94500783
     6     4    0.92179155   30.86679939
     6     5    0.92113720   31.78793659
     6     6    0.92170680   32.70964339
     7     1    0.92094142   33.63058482
     7     2    0.92272466   34.55330948
     7     3    0.92220166   35.47551113
     7     4    0.92275656   36.39826770
     7     5    0.91971889   37.31798659
     7     6    0.92305588   38.24104247
     8     1    0.91412153   39.15516400
     8     2    0.91427708   40.06944108
     8     3    0.91391698   40.98335807
     8     4    0.91385752   41.89721559
     8     5    0.91410213   42.81131772
     8     6    0.91440559   43.72572331
     9     1    0.91625758   44.64198089
     9     2    0.91794869   45.55992958
     9     3    0.91594448   46.47587406
     9     4    0.91454159   47.39041565
     9     5    0.91673444   48.30715009
     9     6    0.91621887   49.22336896
    10     1    0.92695659   50.15032555
    10     2    0.92606994   51.07639549
    10     3    0.92390122   52.00029671
    10     4    0.92298521   52.92328192
    10     5    0.92504747   53.84832939
    10     6    0.92412885   54.77245824
    11     1    0.92179014   55.69424838
    11     2    0.91640550   56.61065388
    11     3    0.92334810   57.53400198
    11     4    0.91932042   58.45332240
    11     5    0.92108059   59.37440300
    11     6    0.91044774   60.28485074
    12     1    0.93675295   61.22160368
    12     2    0.93441741   62.15602109
    12     3    0.94125052   63.09727160
    12     4    0.93906606   64.03633767
    12     5    0.93185326   64.96819093
    12     6    0.92963031   65.89782124
    13     1    0.92186063   66.81968187
    13     2    0.90814659   67.72782846
    13     3    0.92519891   68.65302737
    13     4    0.91414443   69.56717180
    13     5    0.92226734   70.48943913
    13     6    0.91686661   71.40630574
    14     1    0.92445382   72.33075956
    14     2    0.92319538   73.25395494
    14     3    0.93120673   74.18516166
    14     4    0.92870691   75.11386857
    14     5    0.93696577   76.05083434
    14     6    0.93465236   76.98548670
    15     1    0.91200276   77.89748947
    15     2    0.91387488   78.81136435
    15     3    0.91765585   79.72902019
    15     4    0.90922818   80.63824837
    15     5    0.92401040   81.56225878
    15     6    0.91201272   82.47427149
    16     1    0.92433778   83.39860928
    16     2    0.92282878   84.32143806
    16     3    0.91422193   85.23565999
    16     4    0.91245309   86.14811308
    16     5    0.91754131   87.06565439
    16     6    0.91847937   87.98413376
    17     1    0.92407326   88.90820703
    17     2    0.91504050   89.82324753
    17     3    0.90657191   90.72981944
    17     4    0.91278840   91.64260784
    17     5    0.91610464   92.55871249
    17     6    0.91770925   93.47642174
    18     1    0.90478775   94.38120948
    18     2    0.91893030   95.30013978
    18     3    0.92236857   96.22250835
    18     4    0.91668889   97.13919724
    18     5    0.91145438   98.05065162
    18     6    0.90544662   98.95609824
    19     1    0.91963164   99.87572988
    19     2    0.93789650  100.81362638
    19     3    0.92884805  101.74247443
    19     4    0.92521920  102.66769363
    19     5    0.91234077  103.58003441
    19     6    0.91449541  104.49452982
    20     1    0.91610968  105.41063950
    20     2    0.90408908  106.31472858
    20     3    0.89880975  107.21353833
    20     4    0.93314359  108.14668191
    20     5    0.93624411  109.08292603
    20     6    0.92021531  110.00314134
    21     1    0.92227256  110.92541390
    21     2    0.91269422  111.83810812
    21     3    0.92564335  112.76375147
    21     4    0.95942233  113.72317380
    21     5    0.93728926  114.66046307
    21     6    0.93425519  115.59471825
    22     1    0.95502395  116.54974220
    22     2    0.92922279  117.47896499
    22     3    0.92675908  118.40572407
    22     4    0.90909216  119.31481624
    22     5    0.90299677  120.21781300
    22     6    0.95098660  121.16879960
    23     1    0.94230182  122.11110142
    23     2    0.93207136  123.04317278
    23     3    0.92444514  123.96761792
    23     4    0.90449778  124.87211570
    23     5    0.92650487  125.79862057
    23     6    0.96163795  126.76025853
    24     1    0.91180995  127.67206847
    24     2    0.95672805  128.62879652
    24     3    0.96129974  129.59009626
    24     4    0.93335773  130.52345399
    24     5    0.93274609  131.45620008
    24     6    0.91501113  132.37121121
    25     1    0.92020000  133.29141121
    25     2    0.94518016  134.23659137
    25     3    0.93694220  135.17353357
    25     4    0.91925328  136.09278685
    25     5    0.91637611  137.00916296
    25     6    0.89417805  137.90334101
    26     1    0.92953607  138.83287708
    26     2    0.91770246  139.75057954
    26     3    0.91789099  140.66847052
    26     4    0.94379666  141.61226718
    26     5    0.94709325  142.55936043
    26     6    0.92867013  143.48803056
    27     1    0.90874798  144.39677854
    27     2    0.89333439  145.29011293
    27     3    0.91254185  146.20265478
    27     4    0.92440049  147.12705527
    27     5    0.92292714  148.04998241
    27     6    0.90802045  148.95800286
    28     1    0.92624901  149.88425187
    28     2    0.91970268  150.80395455
    28     3    0.92022755  151.72418210
    28     4    0.91616343  152.64034552
    28     5    0.91797442  153.55831994
    28     6    0.92451873  154.48283867
    29     1    0.91432529  155.39716396
    29     2    0.90740389  156.30456785
    29     3    0.91016237  157.21473022
    29     4    0.90165494  158.11638516
    29     5    0.91173038  159.02811554
    29     6    0.91522059  159.94333613
    30     1    0.91818855  160.86152469
    30     2    0.91769838  161.77922307
    30     3    0.91792532  162.69714839
    30     4    0.91698122  163.61412961
    30     5    0.91913604  164.53326564
    30     6    0.91761310  165.45087874
    31     1    0.92366967  166.37454841
    31     2    0.92522943  167.29977785
    31     3    0.92309316  168.22287101
    31     4    0.92093071  169.14380172
    31     5    0.92381505  170.06761677
    31     6    0.91794193  170.98555871
    32     1    0.93190171  171.91746042
    32     2    0.93190207  172.84936248
    32     3    0.93137394  173.78073643
    32     4    0.92930375  174.71004018
    32     5    0.92869945  175.63873963
    32     6    0.92908194  176.56782157
    33     1    0.95255248  177.52037405
    33     2    0.95048393  178.47085799
    33     3    0.95239633  179.42325432
    33     4    0.95531356  180.37856787
    33     5    0.95135749  181.32992537
    33     6    0.95257901  182.28250438
    34     1    0.93417414  183.21667852
    34     2    0.93524902  184.15192754
    34     3    0.93743925  185.08936678
    34     4    0.93798311  186.02734990
    34     5    0.93682767  186.96417757
    34     6    0.93502909  187.89920665
    35     1    0.96078254  188.85998919
    35     2    0.96279125  189.82278044
    35     3    0.96175679  190.78453723
    35     4    0.96239982  191.74693705
    35     5    0.96138844  192.70832549
    35     6    0.96323994  193.67156543
    36     1    0.72173155  194.39329699
    36     2    0.72096302  195.11426001
    36     3    0.72102941  195.83528941
    36     4    0.72107388  196.55636330
    36     5    0.72182268  197.27818598
    36     6    0.72181402  198.00000000
 
