Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= ****
          37          37  0.420868031894022 -1.439882508929735E-016 
          37          38  -6.629187743096210E-002 2.513737064859275E-018 
          37          39  -6.887786850498982E-004 2.219450599069020E-018 
          37          40  9.287546039060290E-004 2.324116481659111E-018 
          37          41  -1.032847522564970E-003 1.996357029345829E-018 
          37          42  -6.617812587308024E-002 -9.230707070374822E-018 
          37          43  -6.793211503965253E-002 3.252999537878207E-018 
          37          44  3.357355854082517E-003 4.373203256466617E-019 
          37          45  -2.158269937114684E-003 -1.918867495322330E-018 
          37          46  -5.519676276861565E-004 2.038691738322714E-018 
          37          47  3.205300907582201E-003 4.469741396548228E-019 
          37          48  -5.822682771082244E-002 3.199292404348482E-018 
          37          49  -1.839490242560428E-003 3.813814796435993E-019 
          37          50  -1.451474727996742E-003 6.518685522841745E-019 
          37          51  -2.601738124114940E-003 -9.342979289990909E-019 
          37          52  -1.427686951640752E-003 6.517244526428768E-019 
          37          53  -1.925711253620104E-003 1.695076011628067E-019 
          37          54  1.371127482027772E-003 3.424985068351647E-021 
          37          55  4.449181918699721E-004 5.214120783962766E-019 
          37          56  -3.875781369413750E-004 3.578236919188593E-019 
          37          57  -9.737487953573103E-004 4.055641697147475E-019 
          37          58  6.684744077144397E-004 4.194596650632536E-019 
          37          59  -2.603863177236885E-003 5.518209367082459E-019 
          37          60  -5.191332943307388E-004 6.834739458248736E-019 
          37          61  -2.356692958112325E-003 1.222193036870867E-018 
          37          62  -9.346354128452308E-004 -1.050820618419087E-020 
          37          63  -3.006362968484444E-003 -8.962050894887057E-020 
          37          64  -7.209373102729141E-004 2.291454636778157E-019 
          37          65  -2.534805279200496E-003 7.297615874119673E-020 
          37          66  -5.739723579420976E-004 4.521732698154887E-020 
          37          67  -1.113546163197000E-003 -1.035117617977938E-019 
          37          68  5.785931939757878E-005 1.764539668032531E-019 
          37          69  -4.319192418183291E-004 5.148023584386174E-019 
          37          70  -4.006162988837003E-004 -2.475227561060922E-019 
          37          71  -5.444843949937164E-004 1.069722447942661E-019 
          37          72  -4.517108493457251E-004 -1.148296408802000E-020 
          37          73  -1.625720487931761E-003 3.902556202464115E-019 
          37          74  -5.791087863982826E-004 -1.796273886762258E-019 
          37          75  -1.302108319026139E-003 1.594815150300203E-021 
          37          76  -7.199399646741523E-004 1.634210264450093E-019 
          37          77  -1.705737183506905E-003 -6.939455245347056E-020 
          37          78  -9.772737430395998E-004 1.742736732269326E-019 
          37          79  -1.679299837607922E-004 -9.282116680363120E-020 
          37          80  -2.262520204270390E-004 1.348592268776131E-019 
          37          81  -4.552382821364065E-004 1.326162961642951E-019 
          37          82  3.533701930439976E-005 6.149076498130655E-020 
          37          83  -1.342031495339827E-004 1.669360433172880E-019 
          37          84  -1.995710201661627E-004 9.165449867627189E-020 
          37          85  -5.488655671971633E-004 4.217748269166694E-021 
          37          86  -5.145271703384706E-004 9.093032698555730E-020 
          37          87  -5.005509844633295E-004 2.962840366373739E-020 
          37          88  -2.298011504596822E-004 9.667066330773507E-020 
          37          89  -3.392476897487795E-004 9.377816685759055E-020 
          37          90  -3.572623244056668E-004 -7.337427558037022E-020 
          37          91  -2.116558439390655E-005 -2.932974170413227E-020 
          37          92  -3.490355810403116E-005 4.988425938554098E-021 
          37          93  -2.044802067089228E-005 2.441325070989146E-020 
          37          94  -4.476508839202633E-005 6.479915916340549E-020 
          37          95  -6.526377910040820E-005 -5.335017360370366E-019 
          37          96  1.039670220471092E-005 -1.143133366598523E-020 
          37          97  2.767046845992931E-006 -7.527506051522372E-021 
          37          98  -3.992932948342433E-005 -2.665527513956302E-020 
          37          99  -1.833783687311156E-005 -6.553198429501522E-020 
          37         100  -7.515782224551192E-005 1.864402891397843E-020 
          37         101  -1.183174861978692E-005 1.192989577737135E-020 
          37         102  -6.243795729040195E-006 -3.596870692507449E-020 
          37         103  1.747178687998409E-005 -4.237551854583404E-021 
          37         104  1.742555966298784E-005 -2.250330718346912E-022 
          37         105  1.546110453008722E-005 8.383376325767610E-021 
          37         106  1.675519489128590E-005 9.766383528695623E-021 
          37         107  1.870056060829978E-005 7.631625010913775E-021 
          37         108  1.933087832332444E-005 5.967378117481694E-021 
          38          37  -6.629187743096210E-002 2.513737064859275E-018 
          38          38  0.421402241889503 8.466112325470992E-017 
          38          39  -6.227008697481308E-002 -1.080337351321447E-017 
          38          40  5.428405923403667E-004 2.559392511544709E-018 
          38          41  1.236590348324913E-003 6.308977866160677E-019 
          38          42  5.917784470311045E-004 9.930665581332385E-020 
          38          43  -8.279599719575169E-002 5.292997583543246E-018 
          38          44  -7.864056168044978E-002 1.118460144724013E-017 
          38          45  2.198297944800061E-003 1.422481693643645E-018 
          38          46  -4.752231423452894E-003 -8.870981349401726E-019 
          38          47  -4.789884489100060E-003 -4.376464816026179E-019 
          38          48  2.135554960223269E-003 5.194559224594193E-019 
          38          49  3.092863543751428E-003 2.553652589450412E-019 
          38          50  -7.512962857661137E-005 -9.538759275825480E-020 
          38          51  -1.210340639227830E-003 4.038548025915365E-019 
          38          52  -2.092490359463464E-003 -3.054882465436883E-019 
          38          53  -1.847548294934392E-003 -4.262457770279206E-019 
          38          54  -3.943251679017226E-004 1.155960779478598E-019 
          38          55  -4.433490951387384E-003 9.999208388536445E-020 
          38          56  4.193558942867754E-004 5.944861067313125E-019 
          38          57  -1.388619308507091E-003 -2.927400836803945E-019 
          38          58  -1.664987758737713E-003 6.687144698320841E-019 
          38          59  4.477117482827946E-004 1.406895210617599E-019 
          38          60  -4.496684250487250E-003 1.260131933750304E-019 
          38          61  -7.354729523108697E-004 -2.779292448506672E-020 
          38          62  -7.602682232493788E-004 3.311525953647317E-019 
          38          63  -4.940823384326325E-004 3.830334799770097E-019 
          38          64  -7.639656286620071E-004 3.724409627120233E-019 
          38          65  -5.901985884465185E-004 3.697034953045628E-019 
          38          66  -2.221784434016522E-003 4.842624727692777E-019 
          38          67  -4.224018587732055E-004 3.042382287777456E-019 
          38          68  -1.425829884617046E-003 1.412903921218129E-019 
          38          69  -1.360597237243129E-003 1.972365719293200E-020 
          38          70  -3.025614550052123E-004 8.377924341940453E-020 
          38          71  -4.293000493453093E-004 7.443110795070840E-020 
          38          72  -7.416272545059598E-004 3.167791931875468E-020 
          38          73  -4.705852611616043E-004 1.838370045579879E-019 
          38          74  -1.296054260020125E-003 -1.475802109447700E-019 
          38          75  -5.471044943113965E-004 3.001493516938902E-020 
          38          76  -3.599260842709760E-004 1.511295625724895E-019 
          38          77  -1.706217287574685E-004 2.259490082462595E-019 
          38          78  -4.788896806079273E-004 1.183421525571038E-019 
          38          79  -8.276067561818809E-005 2.582759605885927E-020 
          38          80  -2.153957445327777E-004 3.585877229817786E-020 
          38          81  -1.595955459138482E-004 6.207143192987289E-020 
          38          82  -3.931588695888885E-004 -4.426949962998425E-021 
          38          83  -3.735367239514568E-004 -1.051441265104622E-019 
          38          84  -8.337515551116287E-005 -1.105438271682878E-020 
          38          85  -4.516212790531106E-005 9.060310435153328E-020 
          38          86  -1.736350353318139E-004 7.244567785673291E-020 
          38          87  -1.738293347602409E-004 6.426211732877846E-021 
          38          88  -3.481788231314189E-004 -3.380611700229211E-020 
          38          89  -1.405835622165079E-004 6.893605031907582E-021 
          38          90  -8.956398138197325E-005 3.265114911056753E-020 
          38          91  -3.151931609781502E-005 -2.547109933717475E-021 
          38          92  -3.643360199750193E-007 1.369877111409065E-020 
          38          93  -2.758353905984177E-006 7.071200858161548E-021 
          38          94  -1.883706200029312E-005 3.027972653561161E-020 
          38          95  -2.120405351219278E-005 -4.985000888437743E-020 
          38          96  -2.878163289367218E-005 2.966618933568187E-019 
          38          97  2.257973733461420E-006 1.735197189978432E-020 
          38          98  8.348632019340855E-006 1.728888601142358E-020 
          38          99  7.835226356213631E-006 1.440945254815728E-020 
          38         100  -1.105036088943980E-005 -2.869152962239201E-020 
          38         101  -3.862772680257814E-006 3.871246027819301E-021 
          38         102  -1.405004260906992E-005 -6.243381025864605E-020 
          38         103  1.277988062710733E-005 8.901829189082005E-021 
          38         104  1.296779548908890E-005 4.851347947788365E-021 
          38         105  9.592887766398941E-006 3.649022253208128E-021 
          38         106  1.147498966097369E-005 1.324213282651613E-020 
          38         107  1.471507505035756E-005 -7.320712334369141E-021 
          38         108  1.780075357336021E-005 4.487385898302273E-022 
          39          37  -6.887786850498982E-004 2.219450599069020E-018 
          39          38  -6.227008697481308E-002 -1.080337351321447E-017 
          39          39  0.420875162384165 -9.483156703194327E-017 
          39          40  -7.519285038435977E-002 -6.894208535691549E-018 
          39          41  -9.118520791202548E-004 3.402853759638995E-019 
          39          42  4.548076479195140E-004 1.018673274306776E-019 
          39          43  2.884004350725180E-003 2.336350396822238E-018 
          39          44  -6.293086491344509E-002 5.212376959865106E-018 
          39          45  -6.575084669331849E-002 -7.537358452898612E-018 
