Nx=24 Ny= 6  N_up=132
          37          37  0.470262929110443 9.015912698185507E-020 
          37          38  -8.138295527856670E-002 1.557799688882467E-017 
          37          39  2.712729372337314E-003 -1.304427351024688E-018 
          37          40  2.292578364102431E-003 -2.500349932483947E-018 
          37          41  2.703845327488720E-003 -3.234230378073947E-018 
          37          42  -8.170155289136199E-002 1.899562760217272E-017 
          37          43  -7.576608635818494E-002 3.068730448435728E-018 
          37          44  6.221281538760302E-003 -4.174929408633016E-018 
          37          45  -3.429407027326605E-003 -2.402643882239629E-018 
          37          46  -3.380388585113615E-003 -4.718665336870566E-019 
          37          47  6.093242513338491E-003 1.008267733691776E-019 
          37          48  -7.340281463071562E-002 -6.228123672448595E-018 
          37          49  2.071778107190451E-003 -2.546041782284104E-018 
          37          50  -3.794187591589518E-003 1.346108716923899E-018 
          37          51  -6.968379289998863E-004 8.495747248206820E-019 
          37          52  -3.768607317320137E-003 4.923991778404627E-019 
          37          53  1.707149960849270E-003 -5.026747334021063E-019 
          37          54  4.542485340070043E-003 -3.780041807040742E-019 
          37          55  8.079051113402550E-004 -1.403290260846129E-020 
          37          56  -1.014057690245818E-003 -6.065311210849038E-020 
          37          57  -9.518781496224457E-004 -1.439383546056147E-019 
          37          58  7.768615591201924E-004 6.401102683753720E-020 
          37          59  -1.610547941832753E-003 -1.803793311068380E-019 
          37          60  -1.786612130258059E-003 2.804019485534464E-019 
          37          61  -3.030056438347791E-004 1.734582159350987E-019 
          37          62  -1.806316567973901E-004 5.946839815289352E-020 
          37          63  -2.982349394573194E-004 4.888437469549400E-020 
          37          64  -5.418780426555258E-004 -1.074449147484180E-019 
          37          65  -5.774168966744468E-004 2.022078994032605E-019 
          37          66  -5.947293681009564E-004 2.958953669592794E-020 
          37          67  -8.969888057332020E-005 -1.602664415308570E-019 
          37          68  -5.745699268983373E-005 1.446351896158520E-021 
          37          69  -6.872716005790819E-005 8.568413263467227E-020 
          37          70  -3.885057009874136E-004 -6.327995263475618E-020 
          37          71  -3.627323223129814E-004 1.476947632072350E-020 
          37          72  -4.646769610840615E-005 -7.379485990397277E-021 
          37          73  -2.389845445333229E-004 2.502885687262648E-020 
          37          74  -1.008461636716529E-004 -2.050797603819268E-020 
          37          75  -1.989394915740616E-005 -1.136431823261998E-020 
          37          76  -3.754821713674525E-006 -3.644979048649879E-022 
          37          77  -1.514385011836390E-005 2.511923273186973E-020 
          37          78  -9.135392722045969E-005 -3.619554015411680E-020 
          37          79  -7.954664233672750E-005 -1.281697494678323E-020 
          37          80  -3.847162132713585E-005 -8.332972177383133E-021 
          37          81  -1.385769988175643E-005 -8.807281989688884E-021 
          37          82  -1.656360553543249E-005 -1.031797611586643E-020 
          37          83  -3.997538699722400E-005 1.024936892775250E-020 
          37          84  -8.480718734035370E-005 -1.271102784943555E-020 
          37          85  1.148712437522829E-005 -2.858720914713625E-021 
          37          86  8.849789326057532E-007 -3.497055470649056E-021 
          37          87  -4.350388200573718E-005 6.887812212444146E-021 
          37          88  2.074914345996591E-006 7.810852004427895E-021 
          37          89  8.874679026201002E-006 -5.298502088049292E-021 
          37          90  -6.868552994401346E-006 -1.215069181478565E-021 
          37          91  -1.422973608166836E-005 9.180730412419452E-022 
          37          92  -1.025078315838096E-005 -1.050243894163472E-021 
          37          93  -9.015560403546680E-006 -6.164424408019039E-022 
          37          94  -1.378276474849090E-005 -7.194612987711032E-021 
          37          95  -2.803588714919354E-007 -1.862429566908629E-022 
          37          96  -2.676217601359055E-006 5.920761707859967E-021 
          37          97  2.971375877703344E-006 2.536990441628531E-021 
          37          98  -2.005320346005031E-006 7.771552795176682E-021 
          37          99  3.501642602111977E-006 -9.907861558158159E-021 
          37         100  5.273103263003681E-007 -2.204914169223413E-021 
          37         101  -8.911763481841560E-006 2.467573578199716E-022 
          37         102  9.800762769545010E-007 -4.088249765986937E-021 
          37         103  9.177578266938096E-008 -1.723456538224533E-022 
          37         104  -2.740436778690382E-008 2.215367096704642E-022 
          37         105  -1.339019264955589E-006 8.009725054886342E-022 
          37         106  -2.281346867212147E-006 -1.011147404472528E-021 
          37         107  -2.034701179240903E-006 -5.908552772860047E-022 
          37         108  -1.300250093655926E-006 8.885775812244128E-022 
          38          37  -8.138295527856670E-002 1.557799688882467E-017 
          38          38  0.470242084475321 -8.860137239100246E-018 
          38          39  -8.110417750330758E-002 1.814193830986333E-017 
          38          40  2.711726192640388E-003 5.023714840557444E-019 
          38          41  2.311298487090903E-003 -3.208877495776190E-018 
          38          42  2.704782876775440E-003 4.844944557996658E-019 
          38          43  -7.568951771970706E-002 5.097429314899915E-018 
          38          44  -7.532021169357997E-002 5.730949455185974E-018 
