Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= 8000
          37          37  0.562957205477626 1.486122270064632E-016 
          37          38  -0.110296425927198 -1.816281853010780E-017 
          37          39  8.163716046751278E-003 3.283521349159936E-018 
          37          40  2.924750480232637E-003 6.058002570383581E-018 
          37          41  8.210907877519836E-003 8.356297759686233E-018 
          37          42  -0.110664610308341 -3.756234917127698E-017 
          37          43  -0.103900454548595 -3.566961341160665E-018 
          37          44  1.432756549569233E-002 1.959650487740507E-019 
          37          45  -4.381881770919902E-003 3.277413876796863E-018 
          37          46  -4.368609986247417E-003 -2.521524484046317E-018 
          37          47  1.419152440305173E-002 1.423974065627096E-017 
          37          48  -0.102257861795140 6.120784648358310E-017 
          37          49  6.926705364739913E-003 2.799116248318357E-018 
          37          50  -4.186080332688000E-003 1.062336625256258E-018 
          37          51  1.599668494110884E-004 2.019532926481240E-018 
          37          52  -4.154034023912027E-003 1.721143283796918E-018 
          37          53  6.589007408081838E-003 -2.251051181880939E-019 
          37          54  1.101808939375136E-002 4.480180074151517E-018 
          37          55  -9.890418072212672E-004 1.829968589897838E-019 
          37          56  4.951440112027774E-004 -6.344228366552445E-020 
          37          57  4.894033837789069E-004 -5.411589349639774E-019 
          37          58  -9.294128179361886E-004 -4.190210196943194E-019 
          37          59  -2.103201815186106E-003 6.250225526477628E-019 
          37          60  -2.344426278000301E-003 6.033511199545674E-019 
          37          61  8.938817423793630E-005 -1.198031508070654E-019 
          37          62  -3.637794007510994E-004 1.553830749872257E-019 
          37          63  8.609851712125097E-005 8.954724535590078E-020 
          37          64  2.459473752069646E-004 1.006405807177005E-019 
          37          65  1.110346726507388E-004 1.804838796947513E-019 
          37          66  2.565504483968602E-004 -4.379005442453469E-021 
          37          67  4.733284164494281E-005 -9.231220725604585E-021 
          37          68  5.493921911907665E-005 -3.653217377184836E-020 
          37          69  -1.081515741216705E-004 -2.466569887868647E-020 
          37          70  -1.432943647928868E-004 -7.532864040582520E-020 
          37          71  -1.451265305772107E-004 -5.860126191872597E-020 
          37          72  -1.039814993334177E-004 6.015614425884079E-021 
          37          73  -2.719815928417506E-005 -2.770864379294269E-021 
          37          74  8.983467817057946E-006 -7.209759259568686E-021 
          37          75  3.792610973813336E-005 8.354500568654516E-021 
          37          76  3.151497650302984E-005 1.277976857672103E-020 
          37          77  3.703631063430944E-005 9.629047974445415E-022 
          37          78  9.388738976590570E-006 -9.363671052284110E-021 
          37          79  -7.449419182259611E-006 -2.298337589430734E-021 
          37          80  -9.129213286413933E-006 -4.208361316851299E-021 
          37          81  -1.032100491033758E-005 3.492878643469018E-021 
          37          82  -1.022857482014406E-005 -4.003998900344107E-021 
          37          83  -8.750150360270229E-006 -2.396951345265667E-021 
          37          84  -7.648956908798917E-006 -1.976294186466773E-021 
          37          85  2.950708210137196E-006 6.050470482117749E-022 
          37          86  1.436186078848605E-006 -4.090548636151520E-022 
          37          87  3.570067457369564E-006 -1.961527695502069E-021 
          37          88  1.497077197781888E-006 -9.545273120562834E-022 
          37          89  2.780238091108078E-006 -4.397883728605394E-022 
          37          90  3.463810109327784E-006 -4.958245509604150E-022 
          37          91  -4.797067871516791E-007 -1.872726860306370E-022 
          37          92  -1.235544404705741E-006 -5.575947020920026E-022 
          37          93  -1.217337553847185E-006 7.437572494859325E-022 
          37          94  -5.115868454267640E-007 -8.004947936403826E-023 
          37          95  -1.140139716323384E-006 -1.301586065593557E-022 
          37          96  -1.226008925857064E-006 4.422209096556091E-022 
          37          97  2.943348502063433E-007 1.588121054667072E-023 
          37          98  3.391233048040053E-007 -7.892674083254755E-023 
          37          99  2.985082580357886E-007 1.014475852651918E-022 
          37         100  1.356383948831074E-007 7.923302599797189E-023 
          37         101  3.729483569071803E-007 -7.517708598318522E-023 
          37         102  1.433019809612406E-007 -2.043251294497609E-022 
          37         103  -3.472705457875356E-008 7.777300230767127E-024 
          37         104  -3.520333497231232E-008 -3.103238515024069E-023 
          37         105  -4.261638092596694E-008 -2.858416123749877E-023 
          37         106  -5.320878965007386E-008 -2.901626193295712E-023 
          37         107  -4.985166444966574E-008 7.092332949282412E-024 
          37         108  -4.371118583050595E-008 5.701686715672903E-025 
          38          37  -0.110296425927198 -1.816281853010780E-017 
          38          38  0.562946023233854 -7.772150374490147E-017 
          38          39  -0.110045461493538 2.194188138435773E-017 
          38          40  8.144790373967861E-003 -1.100082812871646E-017 
          38          41  2.936439346563314E-003 -5.725223482083537E-018 
          38          42  8.208231241364605E-003 -1.644714547766974E-019 
          38          43  -0.103516784667286 -8.395618129430653E-018 
          38          44  -0.103500450759814 -6.991409603710125E-017 
          38          45  1.423886814851464E-002 7.926554060436772E-018 
          38          46  -4.353742893779705E-003 2.963330556085745E-018 
          38          47  -4.392251639802531E-003 1.279386928265471E-018 
          38          48  1.418377996362157E-002 1.232673010031662E-017 
          38          49  1.121937369389042E-002 -3.700300521748055E-018 
          38          50  6.715974542755868E-003 -3.439251589840882E-018 
          38          51  -4.109754493481538E-003 1.152819162723857E-018 
          38          52  2.220399610799838E-004 8.108820672505790E-019 
          38          53  -4.028501520658234E-003 5.188977328381392E-019 
          38          54  6.585036724484610E-003 2.850567743520893E-019 
          38          55  -2.166639720678880E-003 6.614494775201282E-019 
          38          56  -9.456559900847797E-004 -4.879948983017493E-019 
          38          57  4.901450211895390E-004 -3.981865890086002E-019 
          38          58  4.552193309954805E-004 -2.256064697698060E-019 
          38          59  -8.182250754826902E-004 -3.041922013306868E-019 
          38          60  -2.091654094254105E-003 -2.521494838302348E-019 
          38          61  2.325921526841240E-004 2.003298775959659E-020 
          38          62  9.897842775924700E-005 2.221776693102148E-020 
          38          63  -3.430667608088994E-004 1.356421449473739E-019 
          38          64  6.625215892675681E-005 4.255944139396801E-020 
          38          65  2.138315872792985E-004 1.435860248479408E-019 
          38          66  1.170062472542308E-004 5.617194459738408E-020 
          38          67  -9.395001827121674E-005 2.160907360552825E-020 
          38          68  4.460331153623339E-005 -2.358099989047643E-020 
          38          69  5.014431132439285E-005 -2.045577760855075E-021 
          38          70  -9.070703706558966E-005 -7.791715813350833E-020 
          38          71  -1.193498224583224E-004 -9.114774956122112E-021 
          38          72  -1.407852461151989E-004 5.786917740953524E-020 
          38          73  8.623611510059524E-006 -8.404549561110003E-021 
          38          74  -2.538344541052066E-005 1.839871963966809E-020 
          38          75  8.319823344110634E-006 -7.842669189742413E-021 
          38          76  3.337370547330206E-005 8.315148692305800E-021 
          38          77  2.782973568414608E-005 -4.308612467676615E-021 
          38          78  3.618361856252879E-005 -1.933020949391635E-021 
          38          79  -7.024211192911083E-006 4.088668975153410E-021 
          38          80  -7.213004975216111E-006 3.775831517582676E-021 
          38          81  -8.683670141081778E-006 8.509127496482015E-022 
          38          82  -9.203160830934081E-006 2.231420944334680E-021 
          38          83  -9.453675515327798E-006 1.949878079778397E-021 
          38          84  -8.852955336749019E-006 7.931228995583881E-021 
          38          85  3.421045662764833E-006 -2.748534695550647E-021 
          38          86  2.913433422419398E-006 -1.398572337126862E-021 
          38          87  1.379735971181750E-006 -3.256077514356576E-021 
          38          88  3.402748126747534E-006 -1.265509935582147E-021 
          38          89  1.401588943772705E-006 -9.603846823177103E-022 
          38          90  2.880180982042240E-006 -2.875077662450736E-021 
          38          91  -1.239380359588323E-006 -1.821776796157564E-022 
          38          92  -4.810075587578531E-007 3.465182550752286E-022 
          38          93  -1.171816870859524E-006 -8.856148817788970E-023 
