Nx=          48 Ny=           3 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         132 N_down=           0 M1=        3600 
 M2=       12000
     1     1    0.94036351    0.94036351
     1     2    0.94036360    1.88072712
     1     3    0.94038725    2.82111437
     2     1    0.91161322    3.73272758
     2     2    0.91167361    4.64440119
     2     3    0.91167266    5.55607385
     3     1    0.89780743    6.45388128
     3     2    0.89751241    7.35139370
     3     3    0.89781099    8.24920469
     4     1    0.92234799    9.17155268
     4     2    0.92233253   10.09388521
     4     3    0.92203119   11.01591639
     5     1    0.91816744   11.93408384
     5     2    0.91896391   12.85304774
     5     3    0.91894145   13.77198920
     6     1    0.91384669   14.68583589
     6     2    0.91361376   15.59944965
     6     3    0.91390585   16.51335550
     7     1    0.90510263   17.41845813
     7     2    0.90491705   18.32337518
     7     3    0.90431044   19.22768562
     8     1    0.92399175   20.15167737
     8     2    0.92438483   21.07606220
     8     3    0.92428528   22.00034748
     9     1    0.91629040   22.91663787
     9     2    0.91549600   23.83213388
     9     3    0.91656085   24.74869473
    10     1    0.91345993   25.66215466
    10     2    0.91349423   26.57564889
    10     3    0.91362010   27.48926899
    11     1    0.90674518   28.39601417
    11     2    0.90644530   29.30245947
    11     3    0.90644081   30.20890028
    12     1    0.92452204   31.13342232
    12     2    0.92488016   32.05830248
    12     3    0.92452509   32.98282757
    13     1    0.91562797   33.89845554
    13     2    0.91548533   34.81394087
    13     3    0.91607820   35.73001907
    14     1    0.91421639   36.64423546
    14     2    0.91406490   37.55830036
    14     3    0.91397975   38.47228011
    15     1    0.90851513   39.38079524
    15     2    0.90843679   40.28923203
    15     3    0.90875011   41.19798214
    16     1    0.92442687   42.12240901
    16     2    0.92442977   43.04683878
    16     3    0.92467320   43.97151198
    17     1    0.91498043   44.88649241
    17     2    0.91518733   45.80167974
    17     3    0.91512613   46.71680587
    18     1    0.91377581   47.63058168
    18     2    0.91394902   48.54453070
    18     3    0.91368032   49.45821102
    19     1    0.90960710   50.36781812
    19     2    0.90966164   51.27747977
    19     3    0.90953336   52.18701313
    20     1    0.92447432   53.11148746
    20     2    0.92450402   54.03599148
    20     3    0.92453270   54.96052418
    21     1    0.91452372   55.87504789
    21     2    0.91419185   56.78923974
    21     3    0.91450331   57.70374305
    22     1    0.91460099   58.61834403
    22     2    0.91458660   59.53293064
    22     3    0.91437474   60.44730537
    23     1    0.90913846   61.35644383
    23     2    0.91041227   62.26685610
    23     3    0.91003499   63.17689109
    24     1    0.92521047   64.10210156
    24     2    0.92492933   65.02703089
    24     3    0.92537783   65.95240872
    25     1    0.91518473   66.86759345
    25     2    0.91452765   67.78212110
    25     3    0.91371096   68.69583207
    26     1    0.91412485   69.60995692
    26     2    0.91388823   70.52384515
    26     3    0.91380689   71.43765204
    27     1    0.91027773   72.34792977
    27     2    0.91071449   73.25864426
    27     3    0.91014707   74.16879133
    28     1    0.92493815   75.09372948
    28     2    0.92518907   76.01891855
    28     3    0.92564209   76.94456063
    29     1    0.91446797   77.85902860
    29     2    0.91364938   78.77267798
    29     3    0.91424057   79.68691855
    30     1    0.91429004   80.60120859
    30     2    0.91441727   81.51562586
    30     3    0.91395662   82.42958248
    31     1    0.91038395   83.33996642
    31     2    0.91049013   84.25045656
    31     3    0.91055373   85.16101029
    32     1    0.92607761   86.08708790
    32     2    0.92564252   87.01273043
    32     3    0.92575039   87.93848082
    33     1    0.91389120   88.85237202
    33     2    0.91435410   89.76672611
    33     3    0.91420933   90.68093544
    34     1    0.91330438   91.59423982
    34     2    0.91309963   92.50733945
    34     3    0.91335918   93.42069863
    35     1    0.91032306   94.33102169
    35     2    0.91131892   95.24234061
    35     3    0.91070582   96.15304643
    36     1    0.92634129   97.07938772
    36     2    0.92611929   98.00550701
    36     3    0.92666991   98.93217692
    37     1    0.91443923   99.84661615
    37     2    0.91413498  100.76075113
    37     3    0.91329236  101.67404349
    38     1    0.91306872  102.58711221
    38     2    0.91342474  103.50053696
    38     3    0.91340100  104.41393796
    39     1    0.91054163  105.32447959
    39     2    0.90992998  106.23440957
    39     3    0.91105190  107.14546147
    40     1    0.92862345  108.07408492
    40     2    0.92815716  109.00224208
    40     3    0.92776650  109.93000858
    41     1    0.91552411  110.84553270
    41     2    0.91698883  111.76252152
    41     3    0.91594030  112.67846182
    42     1    0.91155518  113.59001701
    42     2    0.91156740  114.50158441
    42     3    0.91161783  115.41320224
    43     1    0.91204013  116.32524237
    43     2    0.91179643  117.23703881
    43     3    0.91167571  118.14871451
    44     1    0.92914023  119.07785474
    44     2    0.92906358  120.00691832
    44     3    0.92912684  120.93604516
    45     1    0.91354811  121.84959327
    45     2    0.91332080  122.76291407
    45     3    0.91374966  123.67666373
    46     1    0.90813599  124.58479972
    46     2    0.90828944  125.49308916
    46     3    0.90838634  126.40147549
    47     1    0.91097365  127.31244914
    47     2    0.91108137  128.22353051
    47     3    0.91101831  129.13454881
    48     1    0.95515356  130.08970237
    48     2    0.95516564  131.04486801
    48     3    0.95513199  132.00000000
 
