 Nx=          48 Ny=           3 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         132 N_down=           0 M1=        3600 
 M2=       12000
     1     1    0.90003895    0.90003895
     1     2    0.90004748    1.80008643
     1     3    0.90004478    2.70013122
     2     1    0.93832159    3.63845280
     2     2    0.93834357    4.57679637
     2     3    0.93831061    5.51510699
     3     1    0.91087870    6.42598568
     3     2    0.91088579    7.33687147
     3     3    0.91090616    8.24777763
     4     1    0.92722823    9.17500586
     4     2    0.92694886   10.10195472
     4     3    0.92705814   11.02901286
     5     1    0.91436288   11.94337574
     5     2    0.91441827   12.85779401
     5     3    0.91432597   13.77211998
     6     1    0.91878741   14.69090740
     6     2    0.91885342   15.60976082
     6     3    0.91893523   16.52869605
     7     1    0.90929482   17.43799088
     7     2    0.90929191   18.34728279
     7     3    0.90929668   19.25657947
     8     1    0.92006635   20.17664582
     8     2    0.92005496   21.09670078
     8     3    0.92006825   22.01676903
     9     1    0.91101079   22.92777982
     9     2    0.91100253   23.83878235
     9     3    0.91099805   24.74978040
    10     1    0.92461033   25.67439073
    10     2    0.92459376   26.59898449
    10     3    0.92460100   27.52358549
    11     1    0.90933476   28.43292026
    11     2    0.90934973   29.34226998
    11     3    0.90932881   30.25159880
    12     1    0.92215842   31.17375721
    12     2    0.92221084   32.09596805
    12     3    0.92226546   33.01823351
    13     1    0.91143527   33.92966878
    13     2    0.91139875   34.84106752
    13     3    0.91141592   35.75248345
    14     1    0.92107975   36.67356320
    14     2    0.92109891   37.59466211
    14     3    0.92104852   38.51571063
    15     1    0.91051297   39.42622360
    15     2    0.91051234   40.33673594
    15     3    0.91050597   41.24724191
    16     1    0.92129135   42.16853326
    16     2    0.92134905   43.08988231
    16     3    0.92133731   44.01121962
    17     1    0.91063327   44.92185289
    17     2    0.91061867   45.83247156
    17     3    0.91064213   46.74311369
    18     1    0.92564394   47.66875763
    18     2    0.92565566   48.59441328
    18     3    0.92563257   49.52004585
    19     1    0.90898611   50.42903196
    19     2    0.90896806   51.33800002
    19     3    0.90897880   52.24697883
    20     1    0.92341036   53.17038919
    20     2    0.92344665   54.09383584
    20     3    0.92333608   55.01717191
    21     1    0.91132548   55.92849740
    21     2    0.91134998   56.83984738
    21     3    0.91136463   57.75121201
    22     1    0.92203790   58.67324991
    22     2    0.92195082   59.59520073
    22     3    0.92200609   60.51720682
    23     1    0.91019349   61.42740031
    23     2    0.91019560   62.33759591
    23     3    0.91018861   63.24778451
    24     1    0.92141059   64.16919510
    24     2    0.92142203   65.09061713
    24     3    0.92143360   66.01205073
    25     1    0.91109055   66.92314128
    25     2    0.91109340   67.83423467
    25     3    0.91108960   68.74532427
    26     1    0.92257854   69.66790281
    26     2    0.92259824   70.59050105
    26     3    0.92255661   71.51305766
    27     1    0.91013224   72.42318990
    27     2    0.91014317   73.33333307
    27     3    0.91015358   74.24348665
    28     1    0.92157893   75.16506559
    28     2    0.92147671   76.08654230
    28     3    0.92153734   77.00807964
    29     1    0.91127605   77.91935570
    29     2    0.91128989   78.83064558
    29     3    0.91125530   79.74190088
    30     1    0.92246110   80.66436198
    30     2    0.92248637   81.58684835
    30     3    0.92250058   82.50934893
    31     1    0.91051027   83.41985920
    31     2    0.91051800   84.33037720
    31     3    0.91051448   85.24089168
    32     1    0.92178368   86.16267536
    32     2    0.92175283   87.08442819
    32     3    0.92182436   88.00625254
    33     1    0.91034990   88.91660245
    33     2    0.91033441   89.82693686
    33     3    0.91032453   90.73726139
    34     1    0.92476645   91.66202784
    34     2    0.92479785   92.58682570
    34     3    0.92477853   93.51160423
    35     1    0.90822132   94.41982554
    35     2    0.90822885   95.32805440
    35     3    0.90821521   96.23626960
    36     1    0.92288488   97.15915448
    36     2    0.92292676   98.08208124
    36     3    0.92296107   99.00504232
    37     1    0.91154130   99.91658362
    37     2    0.91150966  100.82809328
    37     3    0.91152739  101.73962067
    38     1    0.92417585  102.66379652
    38     2    0.92420532  103.58800184
    38     3    0.92413654  104.51213838
    39     1    0.90912308  105.42126147
    39     2    0.90912955  106.33039101
    39     3    0.90913314  107.23952415
    40     1    0.92235612  108.16188028
    40     2    0.92230774  109.08418801
    40     3    0.92233750  110.00652551
    41     1    0.91303524  110.91956075
    41     2    0.91303888  111.83259964
    41     3    0.91303096  112.74563060
    42     1    0.91976538  113.66539597
    42     2    0.91979254  114.58518851
    42     3    0.91980693  115.50499544
    43     1    0.91261467  116.41761011
    43     2    0.91259978  117.33020989
    43     3    0.91260883  118.24281872
    44     1    0.91813609  119.16095480
    44     2    0.91815298  120.07910778
    44     3    0.91809701  120.99720479
    45     1    0.91365237  121.91085717
    45     2    0.91367123  122.82452840
    45     3    0.91368096  123.73820936
    46     1    0.93140475  124.66961411
    46     2    0.93139396  125.60100807
    46     3    0.93140232  126.53241039
    47     1    0.90458194  127.43699233
    47     2    0.90458481  128.34157714
    47     3    0.90457717  129.24615431
    48     1    0.91795227  130.16410658
    48     2    0.91794823  131.08205481
    48     3    0.91794519  132.00000000
 
