Nx=          48 Ny=           3 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         132 N_down=           0 M1=        3600 
 M2=       10000
     1     1    0.93954349    0.93954349
     1     2    0.93955205    1.87909555
     1     3    0.93934649    2.81844203
     2     1    0.93365500    3.75209703
     2     2    0.93366054    4.68575757
     2     3    0.93366054    5.61941812
     3     1    0.91082267    6.53024078
     3     2    0.91098403    7.44122481
     3     3    0.91084939    8.35207421
     4     1    0.90944544    9.26151965
     4     2    0.90945789   10.17097754
     4     3    0.90940770   11.08038524
     5     1    0.90899165   11.98937689
     5     2    0.90900946   12.89838635
     5     3    0.90900997   13.80739632
     6     1    0.90286528   14.71026160
     6     2    0.90295457   15.61321617
     6     3    0.90287790   16.51609407
     7     1    0.92157620   17.43767027
     7     2    0.92160213   18.35927240
     7     3    0.92142680   19.28069920
     8     1    0.92298364   20.20368284
     8     2    0.92297971   21.12666255
     8     3    0.92296268   22.04962523
     9     1    0.92786914   22.97749437
     9     2    0.92798526   23.90547963
     9     3    0.92789286   24.83337249
    10     1    0.92343644   25.75680893
    10     2    0.92344984   26.68025876
    10     3    0.92335057   27.60360934
    11     1    0.91265856   28.51626790
    11     2    0.91266136   29.42892926
    11     3    0.91267125   30.34160051
    12     1    0.90771615   31.24931666
    12     2    0.90772151   32.15703817
    12     3    0.90769623   33.06473440
    13     1    0.90630397   33.97103837
    13     2    0.90630277   34.87734114
    13     3    0.90630259   35.78364373
    14     1    0.90858401   36.69222774
    14     2    0.90858667   37.60081441
    14     3    0.90857221   38.50938662
    15     1    0.91865001   39.42803663
    15     2    0.91862302   40.34665965
    15     3    0.91865402   41.26531366
    16     1    0.92295680   42.18827046
    16     2    0.92296170   43.11123216
    16     3    0.92296763   44.03419978
    17     1    0.92444409   44.95864388
    17     2    0.92442078   45.88306466
    17     3    0.92442464   46.80748930
    18     1    0.92080692   47.72829622
    18     2    0.92079917   48.64909539
    18     3    0.92080733   49.56990272
    19     1    0.91179795   50.48170067
    19     2    0.91179759   51.39349827
    19     3    0.91179295   52.30529122
    20     1    0.90784369   53.21313491
    20     2    0.90784399   54.12097890
    20     3    0.90784251   55.02882141
    21     1    0.90719373   55.93601514
    21     2    0.90719358   56.84320872
    21     3    0.90719269   57.75040141
    22     1    0.91037328   58.66077468
    22     2    0.91037189   59.57114657
    22     3    0.91037412   60.48152069
    23     1    0.91913252   61.40065320
    23     2    0.91913435   62.31978756
    23     3    0.91913266   63.23892022
    24     1    0.92310351   64.16202373
    24     2    0.92310447   65.08512819
    24     3    0.92310420   66.00823239
    25     1    0.92333428   66.93156667
    25     2    0.92333518   67.85490185
    25     3    0.92333557   68.77823742
    26     1    0.91953711   69.69777453
    26     2    0.91953841   70.61731295
    26     3    0.91953745   71.53685039
    27     1    0.91074214   72.44759254
    27     2    0.91074217   73.35833470
    27     3    0.91074182   74.26907652
    28     1    0.90738052   75.17645704
    28     2    0.90738027   76.08383732
    28     3    0.90737997   76.99121728
    29     1    0.90760064   77.89881792
    29     2    0.90760152   78.80641944
    29     3    0.90760092   79.71402036
    30     1    0.91139038   80.62541074
    30     2    0.91139070   81.53680144
    30     3    0.91138975   82.44819119
    31     1    0.92042900   83.36862019
    31     2    0.92042925   84.28904944
    31     3    0.92042895   85.20947838
    32     1    0.92422717   86.13370555
    32     2    0.92423159   87.05793714
    32     3    0.92422728   87.98216442
    33     1    0.92319092   88.90535534
    33     2    0.92319476   89.82855009
    33     3    0.92319012   90.75174022
    34     1    0.91897781   91.67071802
    34     2    0.91897640   92.58969442
    34     3    0.91897674   93.50867115
    35     1    0.90880363   94.41747479
    35     2    0.90880095   95.32627574
    35     3    0.90880099   96.23507673
    36     1    0.90634158   97.14141831
    36     2    0.90634266   98.04776097
    36     3    0.90633962   98.95410059
    37     1    0.90731074   99.86141133
    37     2    0.90731287  100.76872420
    37     3    0.90731149  101.67603569
    38     1    0.91215790  102.58819359
    38     2    0.91216547  103.50035906
    38     3    0.91216334  104.41252239
    39     1    0.92304672  105.33556911
    39     2    0.92305230  106.25862141
    39     3    0.92305202  107.18167343
    40     1    0.92771662  108.10939005
    40     2    0.92774507  109.03713512
    40     3    0.92774928  109.96488440
    41     1    0.92326427  110.88814867
    41     2    0.92323718  111.81138584
    41     3    0.92325352  112.73463936
    42     1    0.92196024  113.65659960
    42     2    0.92196678  114.57856638
    42     3    0.92200785  115.50057423
    43     1    0.90270393  116.40327816
    43     2    0.90259389  117.30587205
    43     3    0.90257450  118.20844656
    44     1    0.90912389  119.11757045
    44     2    0.90914541  120.02671586
    44     3    0.90912324  120.93583910
    45     1    0.90866640  121.84450550
    45     2    0.90866565  122.75317115
    45     3    0.90867245  123.66184360
    46     1    0.90975244  124.57159604
    46     2    0.90978176  125.48137780
    46     3    0.90979057  126.39116837
    47     1    0.93218647  127.32335484
    47     2    0.93218935  128.25554419
    47     3    0.93218776  129.18773195
    48     1    0.93740685  130.12513880
    48     2    0.93739083  131.06252963
    48     3    0.93747037  132.00000000
 
