Nx=  48 Ny= 4 t= 0.000 J= 0.000 N_up=176 N_down=  0 M1= 3200 M2= ****
     1     1    0.94785385    0.94785385
     1     2    0.94785395    1.89570780
     1     3    0.94785396    2.84356175
     1     4    0.94785399    3.79141574
     2     1    0.90892092    4.70033666
     2     2    0.90892083    5.60925749
     2     3    0.90892097    6.51817847
     2     4    0.90892081    7.42709928
     3     1    0.89984668    8.32694596
     3     2    0.89984667    9.22679263
     3     3    0.89984668   10.12663931
     3     4    0.89984667   11.02648598
     4     1    0.90432594   11.93081192
     4     2    0.90432592   12.83513784
     4     3    0.90432594   13.73946378
     4     4    0.90432591   14.64378969
     5     1    0.91594661   15.55973630
     5     2    0.91594660   16.47568291
     5     3    0.91594661   17.39162952
     5     4    0.91594660   18.30757612
     6     1    0.92791212   19.23548824
     6     2    0.92791212   20.16340035
     6     3    0.92791212   21.09131247
     6     4    0.92791212   22.01922459
     7     1    0.92743359   22.94665818
     7     2    0.92743359   23.87409177
     7     3    0.92743359   24.80152536
     7     4    0.92743359   25.72895895
     8     1    0.91605074   26.64500969
     8     2    0.91605074   27.56106044
     8     3    0.91605074   28.47711118
     8     4    0.91605074   29.39316192
     9     1    0.90697010   30.30013202
     9     2    0.90697010   31.20710213
     9     3    0.90697011   32.11407223
     9     4    0.90697010   33.02104233
    10     1    0.90732234   33.92836467
    10     2    0.90732234   34.83568701
    10     3    0.90732234   35.74300935
    10     4    0.90732234   36.65033169
    11     1    0.91589709   37.56622877
    11     2    0.91589709   38.48212586
    11     3    0.91589709   39.39802295
    11     4    0.91589709   40.31392004
    12     1    0.92494377   41.23886381
    12     2    0.92494378   42.16380759
    12     3    0.92494378   43.08875137
    12     4    0.92494377   44.01369514
    13     1    0.92497376   44.93866890
    13     2    0.92497377   45.86364267
    13     3    0.92497377   46.78861644
    13     4    0.92497376   47.71359020
    14     1    0.91632096   48.62991116
    14     2    0.91632096   49.54623212
    14     3    0.91632096   50.46255308
    14     4    0.91632096   51.37887404
    15     1    0.90848515   52.28735919
    15     2    0.90848515   53.19584435
    15     3    0.90848515   54.10432950
    15     4    0.90848515   55.01281465
    16     1    0.90850808   55.92132273
    16     2    0.90850808   56.82983081
    16     3    0.90850808   57.73833889
    16     4    0.90850808   58.64684697
    17     1    0.91603825   59.56288522
    17     2    0.91603825   60.47892347
    17     3    0.91603825   61.39496172
    17     4    0.91603825   62.31099997
    18     1    0.92399967   63.23499964
    18     2    0.92399967   64.15899931
    18     3    0.92399967   65.08299898
    18     4    0.92399967   66.00699865
    19     1    0.92404957   66.93104823
    19     2    0.92404957   67.85509780
    19     3    0.92404957   68.77914737
    19     4    0.92404957   69.70319695
    20     1    0.91627699   70.61947394
    20     2    0.91627699   71.53575093
    20     3    0.91627699   72.45202792
    20     4    0.91627699   73.36830491
    21     1    0.90899461   74.27729953
    21     2    0.90899462   75.18629414
    21     3    0.90899462   76.09528876
    21     4    0.90899461   77.00428337
    22     1    0.90898705   77.91327042
