Nx=  48 Ny= 4 t= 0.000 J= 0.000 N_up=176 N_down=  0 M1= 3600 M2= 12000
     1     1    0.88175700    0.88175700
     1     2    0.88176708    1.76352408
     1     3    0.88176293    2.64528701
     1     4    0.88175576    3.52704277
     2     1    0.90373530    4.43077808
     2     2    0.90373015    5.33450822
     2     3    0.90373620    6.23824442
     2     4    0.90373605    7.14198047
     3     1    0.92596624    8.06794671
     3     2    0.92596276    8.99390947
     3     3    0.92596125    9.91987071
     3     4    0.92596211   10.84583282
     4     1    0.92535907   11.77119189
     4     2    0.92536038   12.69655227
     4     3    0.92536065   13.62191292
     4     4    0.92535513   14.54726805
     5     1    0.91800029   15.46526834
     5     2    0.91799931   16.38326765
     5     3    0.91800144   17.30126909
     5     4    0.91799888   18.21926798
     6     1    0.91310689   19.13237487
     6     2    0.91310898   20.04548385
     6     3    0.91310738   20.95859123
     6     4    0.91310609   21.87169731
     7     1    0.91373225   22.78542956
     7     2    0.91373485   23.69916442
     7     3    0.91372965   24.61289406
     7     4    0.91372856   25.52662262
     8     1    0.91887112   26.44549374
     8     2    0.91886605   27.36435980
     8     3    0.91886284   28.28322263
     8     4    0.91886534   29.20208797
     9     1    0.92299197   30.12507994
     9     2    0.92299341   31.04807335
     9     3    0.92298948   31.97106284
     9     4    0.92298753   32.89405036
    10     1    0.92198551   33.81603587
    10     2    0.92198725   34.73802312
    10     3    0.92198570   35.66000883
    10     4    0.92197950   36.58198833
    11     1    0.91770162   37.49968995
    11     2    0.91770374   38.41739368
    11     3    0.91770162   39.33509530
    11     4    0.91769539   40.25279069
    12     1    0.91457177   41.16736246
    12     2    0.91457026   42.08193272
    12     3    0.91456948   42.99650220
    12     4    0.91456662   43.91106882
    13     1    0.91518744   44.82625626
    13     2    0.91518784   45.74144410
    13     3    0.91518367   46.65662778
    13     4    0.91518528   47.57181305
    14     1    0.91879248   48.49060554
    14     2    0.91878455   49.40939009
    14     3    0.91878289   50.32817298
    14     4    0.91878812   51.24696111
    15     1    0.92186229   52.16882339
    15     2    0.92185244   53.09067583
    15     3    0.92185262   54.01252845
    15     4    0.92185781   54.93438625
    16     1    0.92131148   55.85569773
    16     2    0.92131680   56.77701453
    16     3    0.92131187   57.69832640
    16     4    0.92130730   58.61963370
    17     1    0.91796708   59.53760078
    17     2    0.91796721   60.45556799
    17     3    0.91796752   61.37353551
    17     4    0.91796697   62.29150247
    18     1    0.91523472   63.20673719
    18     2    0.91523494   64.12197213
    18     3    0.91523499   65.03720712
    18     4    0.91523533   65.95244245
    19     1    0.91558122   66.86802367
    19     2    0.91558143   67.78360510
    19     3    0.91558136   68.69918646
    19     4    0.91558138   69.61476783
    20     1    0.91862043   70.53338826
    20     2    0.91862079   71.45200905
    20     3    0.91862129   72.37063034
    20     4    0.91862033   73.28925067
    21     1    0.92144123   74.21069190
    21     2    0.92144148   75.13213338
    21     3    0.92144231   76.05357570
    21     4    0.92144271   76.97501841
    22     1    0.92122511   77.89624352
    22     2    0.92122607   78.81746959
    22     3    0.92122639   79.73869598
    22     4    0.92122589   80.65992187
    23     1    0.91823522   81.57815709
    23     2    0.91823500   82.49639209
    23     3    0.91823506   83.41462715
    23     4    0.91823487   84.33286202
    24     1    0.91547144   85.24833346
    24     2    0.91547126   86.16380472
    24     3    0.91547233   87.07927704
    24     4    0.91547130   87.99474834
    25     1    0.91551553   88.91026388
    25     2    0.91551516   89.82577904
    25     3    0.91551486   90.74129390
    25     4    0.91551603   91.65680993
    26     1    0.91832679   92.57513672
    26     2    0.91832621   93.49346292
    26     3    0.91832563   94.41178855
    26     4    0.91832592   95.33011447
    27     1    0.92128159   96.25139606
    27     2    0.92128022   97.17267627
    27     3    0.92127938   98.09395565
    27     4    0.92128132   99.01523697
    28     1    0.92140700   99.93664396
    28     2    0.92140740  100.85805136
    28     3    0.92140763  101.77945899
    28     4    0.92140695  102.70086594
    29     1    0.91851195  103.61937789
    29     2    0.91851293  104.53789082
    29     3    0.91851253  105.45640336
    29     4    0.91851168  106.37491504
    30     1    0.91549113  107.29040616
    30     2    0.91549121  108.20589738
    30     3    0.91549063  109.12138800
    30     4    0.91549051  110.03687851
    31     1    0.91523244  110.95211096
    31     2    0.91523298  111.86734394
    31     3    0.91523305  112.78257699
    31     4    0.91523324  113.69781023
    32     1    0.91804495  114.61585518
    32     2    0.91804524  115.53390042
    32     3    0.91804477  116.45194519
    32     4    0.91804527  117.36999046
    33     1    0.92138606  118.29137652
    33     2    0.92138674  119.21276326
    33     3    0.92138550  120.13414876
    33     4    0.92138579  121.05553455
    34     1    0.92186668  121.97740123
    34     2    0.92186773  122.89926896
    34     3    0.92186633  123.82113529
    34     4    0.92186582  124.74300111
    35     1    0.91879452  125.66179563
    35     2    0.91879518  126.58059081
    35     3    0.91879452  127.49938533
    35     4    0.91879433  128.41817966
    36     1    0.91524998  129.33342963
    36     2    0.91525008  130.24867971
    36     3    0.91524972  131.16392944
    36     4    0.91524973  132.07917917
    37     1    0.91473218  132.99391135
    37     2    0.91473278  133.90864413
    37     3    0.91473245  134.82337658
    37     4    0.91473240  135.73810898
    38     1    0.91792221  136.65603119
    38     2    0.91792285  137.57395404
    38     3    0.91792260  138.49187664
    38     4    0.91792238  139.40979902
    39     1    0.92218064  140.33197967
    39     2    0.92218108  141.25416075
    39     3    0.92218079  142.17634154
    39     4    0.92218088  143.09852243
    40     1    0.92310827  144.02163070
    40     2    0.92310873  144.94473942
    40     3    0.92310787  145.86784729
    40     4    0.92310775  146.79095504
    41     1    0.91895915  147.70991419
    41     2    0.91895908  148.62887327
    41     3    0.91895856  149.54783184
    41     4    0.91895894  150.46679078
    42     1    0.91390441  151.38069519
    42     2    0.91390527  152.29460046
    42     3    0.91390495  153.20850541
    42     4    0.91390461  154.12241003
    43     1    0.91340996  155.03581999
    43     2    0.91341122  155.94923121
    43     3    0.91341055  156.86264176
    43     4    0.91341289  157.77605465
    44     1    0.91845551  158.69451016
    44     2    0.91845686  159.61296702
    44     3    0.91845791  160.53142493
    44     4    0.91846049  161.44988542
    45     1    0.92591826  162.37580368
    45     2    0.92591594  163.30171962
    45     3    0.92594307  164.22766269
    45     4    0.92594418  165.15360687
    46     1    0.92651205  166.08011892
    46     2    0.92664924  167.00676815
    46     3    0.92672553  167.93349369
    46     4    0.92667534  168.86016903
    47     1    0.90515193  169.76532095
    47     2    0.90532864  170.67064960
    47     3    0.90532200  171.57597160
    47     4    0.90520346  172.48117506
    48     1    0.88779736  173.36897242
    48     2    0.88411743  174.25308985
    48     3    0.88782916  175.14091900
    48     4    0.85908100  176.00000000
 
