 Nx=          36 Ny=           6 Jd= N_up=         198 N_down= 0        3600        8000 bond           1
   31   37    0    1      0.014189414889      0.001751073893      0.001756826466
   31   43    0    2      0.001500025764      0.000591418456      0.000688618168
   31   49    0    3      0.000630246550      0.000553454219      0.000517499530
   31   55    0    4      0.000392559000      0.000420272748      0.000395901764
   31   61    0    5      0.000394273201      0.000291848782      0.000283057411
   31   67    0    6      0.000338476659      0.000245414131      0.000242315865
   31   73    0    7      0.000217434349      0.000225845588      0.000224050787
   31   79    0    8      0.000165467330      0.000172459775      0.000170881672
   31   85    0    9      0.000176183910      0.000127346321      0.000125411750
   31   91    0   10      0.000150417293      0.000112443959      0.000110824584
   31   97    0   11      0.000096789888      0.000104174376      0.000103333449
   31  103    0   12      0.000076630346      0.000078878316      0.000078277386
   31  109    0   13      0.000082401211      0.000058932989      0.000058095795
   31  115    0   14      0.000069085106      0.000052767658      0.000052024189
   31  121    0   15      0.000044236418      0.000048596736      0.000048547228
   31  127    0   16      0.000036082342      0.000036182811      0.000036360842
   31  133    0   17      0.000038851930      0.000027443090      0.000027041802
   31  139    0   18      0.000031838475      0.000024841711      0.000024502289
   31  145    0   19      0.000020204471      0.000022646074      0.000022472449
   31  151    0   20      0.000016941137      0.000016688048      0.000016547448
   31  157    0   21      0.000018241206      0.000012660827      0.000012471812
   31  163    0   22      0.000014489081      0.000011570865      0.000011421098
   31  169    0   23      0.000008947953      0.000010355263      0.000010284504
   31  175    0   24      0.000007697469      0.000007383796      0.000007321291
