Nx=          36 Ny=           6 Jd= Nup=         198 N_down= 0        3600       8000 bond           1
   33   39    0    1      0.025952034380      0.003479784051      0.003523422578
   33   45    0    2      0.002848662461      0.001569811167      0.001693838374
   33   51    0    3      0.001640776750      0.001326842797      0.001299573241
   33   57    0    4      0.001261115533      0.001202304512      0.001194435504
   33   63    0    5      0.001019097964      0.001023301046      0.001026954792
   33   69    0    6      0.000881964057      0.000794286179      0.000796346687
   33   75    0    7      0.000766603799      0.000646835849      0.000648421090
   33   81    0    8      0.000636515419      0.000595962234      0.000597228196
   33   87    0    9      0.000526597643      0.000540378101      0.000541408990
   33   93    0   10      0.000460680511      0.000437750164      0.000438458605
   33   99    0   11      0.000411057152      0.000352420260      0.000353110343
   33  105    0   12      0.000348806877      0.000318283496      0.000319009792
   33  111    0   13      0.000287765851      0.000293531016      0.000294192754
   33  117    0   14      0.000248673895      0.000242803132      0.000243180659
   33  123    0   15      0.000222739775      0.000193043461      0.000193359127
   33  129    0   16      0.000191241901      0.000170348990      0.000170808269
   33  135    0   17      0.000157440099      0.000158547679      0.000158957518
   33  141    0   18      0.000134419590      0.000133705305      0.000133933845
   33  147    0   19      0.000120468087      0.000105677048      0.000105834722
   33  153    0   20      0.000104626816      0.000091535731      0.000091775239
   33  159    0   21      0.000085951901      0.000085618074      0.000085830910
   33  165    0   22      0.000072079606      0.000072853392      0.000072982217
   33  171    0   23      0.000064138712      0.000056208733      0.000056298705
   33  177    0   24      0.000056012195      0.000047630107      0.000047747848
