Nx=          32 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         168 N_down=           0 M1=        3600 
 M2=       14000
     1     1    0.75591666    0.75591666
     1     2    0.75560122    1.51151788
     1     3    0.75585680    2.26737468
     1     4    0.75561731    3.02299198
     1     5    0.75589946    3.77889144
     1     6    0.75561787    4.53450931
     2     1    0.91396465    5.44847396
     2     2    0.91427862    6.36275258
     2     3    0.91402641    7.27677898
     2     4    0.91397494    8.19075392
     2     5    0.91392802    9.10468194
     2     6    0.91402716   10.01870910
     3     1    0.89419958   10.91290869
     3     2    0.89433298   11.80724167
     3     3    0.89420894   12.70145061
     3     4    0.89373925   13.59518985
     3     5    0.89386887   14.48905872
     3     6    0.89367356   15.38273227
     4     1    0.89362152   16.27635379
     4     2    0.89403772   17.17039151
     4     3    0.89340787   18.06379938
     4     4    0.89320576   18.95700514
     4     5    0.89305074   19.85005588
     4     6    0.89290692   20.74296279
     5     1    0.87758036   21.62054315
     5     2    0.87759059   22.49813375
     5     3    0.87770021   23.37583395
     5     4    0.87698836   24.25282232
     5     5    0.87710690   25.12992922
     5     6    0.87636949   26.00629870
     6     1    0.87035565   26.87665435
     6     2    0.87088368   27.74753803
     6     3    0.87076081   28.61829884
     6     4    0.87053288   29.48883171
     6     5    0.87015194   30.35898365
     6     6    0.86968755   31.22867121
     7     1    0.87831022   32.10698142
     7     2    0.87783991   32.98482133
     7     3    0.87874295   33.86356428
     7     4    0.87802465   34.74158893
     7     5    0.87870745   35.62029638
     7     6    0.87739781   36.49769419
     8     1    0.87669464   37.37438883
     8     2    0.87714370   38.25153252
     8     3    0.87771552   39.12924804
     8     4    0.87763525   40.00688329
     8     5    0.87767913   40.88456242
     8     6    0.87644682   41.76100924
     9     1    0.88477222   42.64578146
     9     2    0.88450006   43.53028152
     9     3    0.88553278   44.41581430
     9     4    0.88455175   45.30036605
     9     5    0.88517979   46.18554585
     9     6    0.88385802   47.06940387
    10     1    0.87967453   47.94907840
    10     2    0.88015226   48.82923066
    10     3    0.88018677   49.70941743
    10     4    0.88010644   50.58952387
    10     5    0.88015304   51.46967691
    10     6    0.87967423   52.34935115
    11     1    0.87792217   53.22727331
    11     2    0.87878377   54.10605708
    11     3    0.87847781   54.98453489
    11     4    0.87874172   55.86327661
    11     5    0.87837801   56.74165462
    11     6    0.87820670   57.61986132
    12     1    0.87975436   58.49961568
    12     2    0.88042525   59.38004093
