Nx=          36 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         198 N_down=           0 M1=        3600 
 M2=       12000
     1     1    0.94389549    0.94389549
     1     2    0.94390647    1.88780196
     1     3    0.94391192    2.83171388
     1     4    0.94390979    3.77562366
     1     5    0.94390089    4.71952455
     1     6    0.94389518    5.66341973
     2     1    0.90807120    6.57149093
     2     2    0.90809503    7.47958596
     2     3    0.90809794    8.38768390
     2     4    0.90808741    9.29577131
     2     5    0.90807023   10.20384154
     2     6    0.90806438   11.11190592
     3     1    0.90587812   12.01778404
     3     2    0.90589275   12.92367679
     3     3    0.90589353   13.82957032
     3     4    0.90589162   14.73546195
     3     5    0.90588589   15.64134783
     3     6    0.90588352   16.54723135
     4     1    0.92286851   17.47009986
     4     2    0.92287981   18.39297968
     4     3    0.92288363   19.31586331
     4     4    0.92288990   20.23875321
     4     5    0.92288909   21.16164229
     4     6    0.92287856   22.08452085
     5     1    0.92653945   23.01106030
     5     2    0.92656215   23.93762246
     5     3    0.92656191   24.86418436
     5     4    0.92654774   25.79073211
     5     5    0.92653021   26.71726232
     5     6    0.92652325   27.64378557
     6     1    0.91211477   28.55590034
     6     2    0.91214050   29.46804085
     6     3    0.91214561   30.38018646
     6     4    0.91212850   31.29231496
     6     5    0.91210455   32.20441951
     6     6    0.91209327   33.11651278
     7     1    0.90750590   34.02401867
     7     2    0.90752497   34.93154364
     7     3    0.90754540   35.83908904
     7     4    0.90755012   36.74663916
     7     5    0.90753521   37.65417437
     7     6    0.90750971   38.56168408
     8     1    0.91856571   39.48024980
     8     2    0.91858442   40.39883422
     8     3    0.91860777   41.31744199
     8     4    0.91861729   42.23605927
     8     5    0.91860450   43.15466377
     8     6    0.91857484   44.07323861
     9     1    0.92173415   44.99497276
     9     2    0.92176092   45.91673369
     9     3    0.92177483   46.83850852
     9     4    0.92176710   47.76027562
     9     5    0.92174550   48.68202112
     9     6    0.92172306   49.60374418
    10     1    0.91153464   50.51527882
    10     2    0.91156342   51.42684224
    10     3    0.91157726   52.33841950
    10     4    0.91156674   53.24998624
    10     5    0.91154215   54.16152839
    10     6    0.91151940   55.07304779
    11     1    0.90927698   55.98232477
    11     2    0.90929885   56.89162363
    11     3    0.90932256   57.80094618
    11     4    0.90932846   58.71027464
    11     5    0.90931130   59.61958594
    11     6    0.90928050   60.52886645
    12     1    0.91906862   61.44793507
    12     2    0.91908925   62.36702431
    12     3    0.91911480   63.28613911
    12     4    0.91912394   64.20526305
    12     5    0.91910833   65.12437138
    12     6    0.91907611   66.04344749
    13     1    0.92065348   66.96410097
    13     2    0.92068119   67.88478216
    13     3    0.92069874   68.80548090
    13     4    0.92069245   69.72617335
    13     5    0.92066929   70.64684264
    13     6    0.92064370   71.56748634
    14     1    0.91106971   72.47855605
    14     2    0.91109864   73.38965469
    14     3    0.91111551   74.30077020
    14     4    0.91110741   75.21187760
    14     5    0.91108299   76.12296060
    14     6    0.91105720   77.03401780
    15     1    0.91008038   77.94409818
    15     2    0.91010551   78.85420368
    15     3    0.91013021   79.76433389
    15     4    0.91013722   80.67447111
    15     5    0.91011875   81.58458986
    15     6    0.91008517   82.49467504
    16     1    0.91955624   83.41423128
    16     2    0.91958285   84.33381413
    16     3    0.91960767   85.25342180
    16     4    0.91961585   86.17303765
    16     5    0.91959950   87.09263715
    16     6    0.91956650   88.01220364
    17     1    0.91999851   88.93220215
    17     2    0.92003157   89.85223372
    17     3    0.92004851   90.77228223
    17     4    0.92004084   91.69232307
    17     5    0.92001639   92.61233946
    17     6    0.91999489   93.53233435
    18     1    0.91056571   94.44290006
    18     2    0.91059855   95.35349862
    18     3    0.91061555   96.26411417
    18     4    0.91060781   97.17472198
    18     5    0.91058282   98.08530480
    18     6    0.91056166   98.99586646
    19     1    0.91066523   99.90653169
    19     2    0.91069190  100.81722359
    19     3    0.91071586  101.72793944
    19     4    0.91072225  102.63866169
    19     5    0.91070467  103.54936636
    19     6    0.91067646  104.46004282
    20     1    0.92010191  105.38014473
    20     2    0.92012765  106.30027238
    20     3    0.92015164  107.22042402
    20     4    0.92015779  108.14058181
    20     5    0.92013939  109.06072120
    20     6    0.92011237  109.98083357
    21     1    0.91947764  110.90031121
    21     2    0.91950982  111.81982103
    21     3    0.91952707  112.73934809
    21     4    0.91951990  113.65886800
    21     5    0.91949384  114.57836184
    21     6    0.91947286  115.49783470
    22     1    0.91001517  116.40784987
    22     2    0.91004761  117.31789748
    22     3    0.91006564  118.22796313
    22     4    0.91005938  119.13802251
    22     5    0.91003432  120.04805683
    22     6    0.91001183  120.95806866
    23     1    0.91120374  121.86927240
    23     2    0.91122950  122.78050191
    23     3    0.91125353  123.69175543
    23     4    0.91126099  124.60301642
    23     5    0.91124389  125.51426031
    23     6    0.91121601  126.42547632
    24     1    0.92078882  127.34626514
    24     2    0.92081412  128.26707926
    24     3    0.92083689  129.18791616
    24     4    0.92084303  130.10875919
    24     5    0.92082549  131.02958467
    24     6    0.92079946  131.95038413
    25     1    0.91904003  132.86942416
    25     2    0.91907184  133.78849600
    25     3    0.91908770  134.70758370
    25     4    0.91907920  135.62666289
    25     5    0.91905397  136.54571686
    25     6    0.91903434  137.46475120
    26     1    0.90927212  138.37402332
    26     2    0.90930277  139.28332610
    26     3    0.90931996  140.19264606
    26     4    0.90931424  141.10196030
    26     5    0.90929092  142.01125121
    26     6    0.90926961  142.92052082
    27     1    0.91169413  143.83221495
    27     2    0.91171670  144.74393165
    27     3    0.91174077  145.65567242
    27     4    0.91175096  146.56742337
    27     5    0.91173735  147.47916072
    27     6    0.91170954  148.39087026
    28     1    0.92187787  149.31274813
    28     2    0.92190004  150.23464816
    28     3    0.92192140  151.15656956
    28     4    0.92192905  152.07849861
    28     5    0.92191536  153.00041398
    28     6    0.92188964  153.92230361
    29     1    0.91858350  154.84088711
    29     2    0.91861307  155.75950018
    29     3    0.91862593  156.67812611
    29     4    0.91861663  157.59674274
    29     5    0.91859349  158.51533624
    29     6    0.91857517  159.43391140
    30     1    0.90755830  160.34146971
    30     2    0.90758358  161.24905329
    30     3    0.90759846  162.15665174
    30     4    0.90759391  163.06424565
    30     5    0.90757374  163.97181939
    30     6    0.90755504  164.87937443
    31     1    0.91227824  165.79165267
    31     2    0.91228927  166.70394194
    31     3    0.91231308  167.61625502
    31     4    0.91233001  168.52858503
    31     5    0.91232502  169.44091006
    31     6    0.91229979  170.35320985
    32     1    0.92667498  171.27988482
    32     2    0.92668189  172.20656672
    32     3    0.92669928  173.13326600
    32     4    0.92671324  174.05997924
    32     5    0.92671343  174.98669267
    32     6    0.92669128  175.91338396
    33     1    0.92292331  176.83630726
    33     2    0.92293388  177.75924114
    33     3    0.92293470  178.68217585
    33     4    0.92292852  179.60510437
    33     5    0.92292475  180.52802912
    33     6    0.92291358  181.45094270
    34     1    0.90595243  182.35689513
    34     2    0.90595474  183.26284987
    34     3    0.90596042  184.16881029
    34     4    0.90596230  185.07477260
    34     5    0.90596160  185.98073419
    34     6    0.90594722  186.88668141
    35     1    0.90819668  187.79487809
    35     2    0.90820244  188.70308053
    35     3    0.90821943  189.61129996
    35     4    0.90822980  190.51952976
    35     5    0.90822697  191.42775673
    35     6    0.90820343  192.33596016
    36     1    0.94399867  193.27995883
    36     2    0.94400429  194.22396312
    36     3    0.94401306  195.16797618
    36     4    0.94401517  196.11199136
    36     5    0.94400976  197.05600111
    36     6    0.94399889  198.00000000
 
